research_type,data_example,preferred_format,metadata_standard,readme_additions,documentation_required,keywords
Biological & Omics,"Genetic, metabolomic, tissue data",FASTQ|FASTA|VCF|HDF5|CSV,MIAME|MINSEQE,Sample overview|workflow summary,Sample metadata| lab protocols| sequencing workflow| pipelines,genetic| gene| metabolomic| metabolic| cell| tissue| sample
Clinical & Health,"Lab values, case reports, physical measurements",CSV|XML (FHIR/CDISC),HL7 FHIR|CDISC,Measurement overview|inclusion/exclusion summary,Codebook/data dictionary| clinical protocol| measurement procedures,clinical| medical| health| disease| treatment| rct| trial| treatment
"Digital, Social & Spatial","Social media, GIS, network data",GeoJSON|CSV|JSON,ISO 19115|Dublin Core,Data source; timeframe; variable overview,Codebook/data dictionary| API queries| extraction methods| spatial reference system| network definitions,social media| gis| geographical| network| social
Experimental & Behavioral,"Eye-tracking, response times/accuracy, mouse clicks/screen touch, game performance, neurocognitive data",CSV|JSON,BIDS (behavioral)|Dublin Core,Task overview; experimental conditions,Codebook/data dictionary| full task protocol/scripts| stimuli files| timing/event structure| preprocessing documentation,experiment| behavioral| eye| response| cognitive| touch| click| cognition| performance| reaction
Machine-generated & Sensor Systems,"Logs, automated data streams",JSON|CSV|XML,Dublin Core,System overview; data generation purpose; structure,"Schema/codebook| logging definitions| architecture (system components, data flow) | timestamp format",machine| automated| log| audit
Movement & Biomechanics,"Motion capture, force plate, inertial sensors",C3D|CSV|HDF5,OpenSim|SensorML,Measurement setup; sensor overview,Codebook/data dictionary| calibration protocol| coordinate system definitions| device specifications| processing description,movement| biomechanics| sport| disorder| performance| reaction| experiment| lab| health|
Neuroimaging & Neurophysiology,"MRI/fMRI, PET, EEG, ECG, EOG",NIfTI|EDF|BDF,BIDS,Acquisition summary,BIDS metadata| acquisition parameters| preprocessing workflows| sensor placement| scripts,imaging| neuro| experiment| behavioral| physiology| medical| clinical| health| lab
Qualitative,"Audio/video, interviews; transcripts, observations, photographs, coding schemes",WAV|MP4|TXT|XML (TEI)|TIFF,Dublin Core|TEI,n/a,Coding framework| transcription protocol| interview guides| anonymization method,audio| video| audiovisual| interview| observation| coding| transcript| qualitative| mixed methods| text
Research administration,"Directly identifying data/key files, consent data, participation data (e.g. reasons for drop-out, participation in optional sub-studies)",CSV|TXT,Dublin Core,Description of recruitment process,Codebook/data dictionary | consent forms and information letter| ethical approval| grant application and approval| contracts/agreeements with third parties| non-WMO declaration,consent| forms| naw| participant| participation| ethics| administration| contracts| applications| recruitment
Survey & Self-report,"Questionnaires, diaries",CSV|JSON|TXT,DDI,Population description|overview of tools,Full questionnaire| Codebook/data dictionary| scoring rules| sampling documentation,questionnaire| text| open| answer| report| diary| feedback
